00221819-n	ama_hiltze
00221900-n	aita_hiltze
00221981-n	fratrizidio, senide-hilketa
00222248-n	garbiketa
00222376-n	erorketa
00222485-n	suizidio
00223500-v	ahuldu, makaldu
00223720-n	hiltze, garbitze, akabatze
00223854-n	akabatze, sarraski
00223983-n	triskantza, sarraski
00224599-n	lintxamendu
00224651-v	desegin, ezdeustu, hutsaldu, itzali
00224738-n	pozoidura, pozoitze
00224901-v	ahuldu, makaldu
00225070-n	errege-hilketa
00225150-n	tiroketa
00225593-n	itomen, asfixia
00225786-n	itotze
00225832-v	elbarritu, ezgaitu
00226071-v	disolbatu, urtu
00226379-v	indargabetu
00226566-v	areagotu, biziagotu
00227165-v	areagotu, biziagotu
00227264-n	itotze
00227595-n	opari, sakrifizio
00227848-n	hekatonbe
00227913-v	kamustu, makestu
00227969-n	inmolazio
00228019-v	kamustu, makestu
00228078-n	elektrokuzio
00228181-n	lepo_mozte
00228236-v	garaztatu, ureztatu
00228283-n	indargabetze, ezeztatze, kentze
00228535-n	bukatze, amaitze, kitatze
00228655-v	busti, ihinztatu, zipriztindu
00228911-n	uzte
00229814-n	kaleratze
00229934-n	itzaltze
00230172-n	desagertze
00230324-n	abortu
00230475-n	abortu, umegaltze
00230746-v	handiagotu, handitu
00231557-v	handitu, hazi, kozkortu
00231567-n	ezeztapen, indargabetze, baliogabetze
00231887-n	indargabetze
00232604-n	baliogabetze
00232863-n	deuseztapen
00232956-v	gutxitu, laburtu, murriztu, txikiagotu, urritu
00233386-n	neutralizazio
00233614-n	desaktibazio, indargabetze
00234423-n	neutralizazio
00234892-n	alderanzketa
00235074-n	desegite
00235208-n	atzerakada
00235435-n	hasiera
00236581-n	tronuratze, tronura_igotze
00236821-n	eragite, aktibazio
00237078-n	eraketa, osaketa
00237869-n	kreazio, sorkuntza
00238022-n	inaugurazio, estreinaldi, debut, aurkezpen
00238867-v	herdoildu, ugertu
00239230-n	iniziatiba
00239910-n	inaugurazio, estreinaldi
00240184-n	sorrera, fundazio, kreazio, sorketa, sortze
00240293-v	handiagotu, handitu
00240571-v	lermatu, uzkurtu
00240810-v	hedatu, zabaldu
00240938-n	instalazio, ezarpen, muntaketa
00241038-v	uzkurtu
00241507-n	hasierako_sake
00241689-v	faundu, ihartu, maskaldu, zapuztu, zimeldu
00241699-n	hasiera
00242003-n	berriz_haste
00242146-n	mele
00242580-v	bat_egin
00242747-v	bat_egin
00242808-n	pizte
00243102-n	diana
00243124-v	bat_egin, batu, elkartu
00243237-n	berri-emate
00243373-n	inaugurazio, estreinaldi
00243900-v	laburtu, moztu, txikiagotu
00243918-n	erreketa, egosketa
00244416-v	laburtu, trinkotu
00244625-v	laburbildu, laburtu, trinkotu
00245059-v	baretu, jabaldu
00245289-v	baretu, lasaitu
00245457-v	hazi
00246217-v	bikoiztu
00246341-n	labealdi
00246552-n	txigortze
00246746-v	hirukoiztu
00246754-n	parrilan_erretze
00246940-n	frijitze
00247048-v	laukoiztu
00247342-n	uretan_egoste
00247390-v	biderkatu, ugaldu
00247442-n	errealdi
00247792-n	egosketa, egoste
00247830-v	ugaldu, ugaritu
00247955-n	gainetik_bustitze
00248026-v	zaharkitu, zahartu
00248368-n	ontze, maneatze
00248534-n	gazitze
00248636-n	gozatze
00248977-n	hobekuntza
00249501-n	pauso, urrats, aurrerapen, aurrerapauso, aurrerakuntza
00249556-v	fosildu, fosilizatu
00249679-v	zaharkitu, zahartu
00249852-v	heldu, ondu, umatu
00249969-v	heldu, ondu, umatu
00250181-v	hazi, heldu
00250259-n	garapen
00250597-n	hedapen
00250710-n	aurrerapen
00251013-n	garbiketa, txukunketa
00251064-v	aldatu, garatu
